date,transaction_id,store_id,product_category,units_sold,unit_price,cost_per_unit,store_name,city,region,store_size_sqft,opening_date,revenue,cost,profit
23-04-2023,92,1015,Clothing,11,68.49,274.87,Store_1015,Mumbai,West,2180,02-02-2016,753.39,3023.57,-2270.18
08-02-2024,93,1001,Groceries,13,1225.32,721,Store_1001,Hyderabad,South,4796,18-10-2019,15929.16,9373,6556.16
08-08-2023,94,1026,Clothing,5,1652.06,1497.11,Store_1026,Kolkata,South,2495,17-07-2016,8260.3,7485.55,774.75
23-08-2023,95,1035,Sports,19,1278.38,553.39,Store_1035,Pune,West,1378,17-11-2023,24289.22,10514.41,13774.81
08-10-2023,96,1025,Sports,15,1582.87,658.47,Store_1025,Pune,South,3695,22-08-2022,23743.05,9877.05,13866
17-01-2023,97,1042,Clothing,1,1609.81,665.7,Store_1042,Bangalore,West,3182,25-12-2019,1609.81,665.7,944.11
03-09-2023,98,1015,Sports,5,1709.47,148.63,Store_1015,Mumbai,West,2180,02-02-2016,8547.35,743.15,7804.2
29-05-2023,99,1022,Sports,13,569.99,1168.03,Store_1022,Delhi,West,2367,18-01-2023,7409.87,15184.39,-7774.52
15-09-2023,100,1006,Electronics,10,1748.97,402.06,Store_1006,Mumbai,North,2076,05-08-2022,17489.7,4020.6,13469.1
10-05-2023,101,1015,Furniture,5,1325.48,1064.39,Store_1015,Mumbai,West,2180,02-02-2016,6627.4,5321.95,1305.45
19-09-2023,102,1024,Sports,1,614.96,728.38,Store_1024,Mumbai,South,3027,13-05-2017,614.96,728.38,-113.42
16-12-2023,103,1021,Sports,10,1975.22,929.32,Store_1021,Kolkata,South,3568,25-02-2020,19752.2,9293.2,10459
10-05-2023,104,1007,Groceries,18,1902.86,109.34,Store_1007,Bangalore,South,1791,20-04-2019,34251.48,1968.12,32283.36
28-10-2023,105,1029,Furniture,8,1170.16,1338.25,Store_1029,Delhi,West,2522,07-04-2020,9361.28,10706,-1344.72
13-04-2023,106,1032,Furniture,3,1694.26,388.47,Store_1032,Mumbai,East,2698,28-03-2021,5082.78,1165.41,3917.37
10-01-2024,107,1032,Furniture,19,559.91,1015.04,Store_1032,Mumbai,East,2698,28-03-2021,10638.29,19285.76,-8647.47
24-04-2023,108,1005,Clothing,19,861.27,1203.09,Store_1005,Kolkata,South,1878,10-03-2020,16364.13,22858.71,-6494.58
06-12-2023,109,1004,Electronics,2,408.74,823.86,Store_1004,Kolkata,North,1337,24-06-2022,817.48,1647.72,-830.24
11-02-2024,110,1022,Electronics,17,1064.2,525.88,Store_1022,Delhi,West,2367,18-01-2023,18091.4,8939.96,9151.44
30-07-2023,111,1018,Groceries,16,1017.2,1467.52,Store_1018,Pune,South,1064,28-01-2016,16275.2,23480.32,-7205.12
04-12-2023,112,1035,Furniture,10,464.99,439.31,Store_1035,Pune,West,1378,17-11-2023,4649.9,4393.1,256.8
10-06-2023,113,1017,Furniture,16,1361.96,1424.53,Store_1017,Pune,East,4884,13-10-2022,21791.36,22792.48,-1001.12
12-02-2023,114,1050,Sports,5,279.69,259.65,Store_1050,Hyderabad,West,3454,17-11-2017,1398.45,1298.25,100.2
04-11-2023,115,1050,Clothing,3,170.3,602.16,Store_1050,Hyderabad,West,3454,17-11-2017,510.9,1806.48,-1295.58
21-01-2023,116,1024,Clothing,3,800.56,233.59,Store_1024,Mumbai,South,3027,13-05-2017,2401.68,700.77,1700.91
15-10-2023,117,1002,Groceries,2,849.16,33.29,Store_1002,Kolkata,South,3767,15-03-2017,1698.32,66.58,1631.74
13-01-2024,118,1013,Electronics,4,673.49,412.58,Store_1013,Pune,West,1492,17-05-2016,2693.96,1650.32,1043.64
17-10-2023,119,1015,Furniture,18,553,158.2,Store_1015,Mumbai,West,2180,02-02-2016,9954,2847.6,7106.4
07-07-2023,120,1005,Groceries,2,710.61,1479.93,Store_1005,Kolkata,South,1878,10-03-2020,1421.22,2959.86,-1538.64
09-01-2023,121,1003,Clothing,6,368.58,1149.63,Store_1003,Bangalore,South,4820,16-11-2020,2211.48,6897.78,-4686.3
02-08-2023,122,1037,Clothing,3,836.73,35.45,Store_1037,Pune,South,4561,25-11-2017,2510.19,106.35,2403.84
07-09-2023,123,1037,Clothing,3,1813.98,358.76,Store_1037,Pune,South,4561,25-11-2017,5441.94,1076.28,4365.66
18-11-2023,124,1037,Furniture,2,487.63,1015.08,Store_1037,Pune,South,4561,25-11-2017,975.26,2030.16,-1054.9
21-10-2023,125,1003,Furniture,3,1384.68,615.87,Store_1003,Bangalore,South,4820,16-11-2020,4154.04,1847.61,2306.43
03-03-2023,126,1035,Furniture,17,326.48,1252.81,Store_1035,Pune,West,1378,17-11-2023,5550.16,21297.77,-15747.61
24-11-2023,127,1023,Sports,14,740.12,772.15,Store_1023,Hyderabad,West,2152,24-01-2019,10361.68,10810.1,-448.42
05-02-2023,128,1028,Electronics,7,676.29,990.87,Store_1028,Delhi,South,2162,06-04-2015,4734.03,6936.09,-2202.06
27-04-2023,129,1030,Clothing,6,1877.21,907.64,Store_1030,Bangalore,South,3640,24-10-2019,11263.26,5445.84,5817.42
05-11-2023,130,1018,Clothing,8,884.57,968.11,Store_1018,Pune,South,1064,28-01-2016,7076.56,7744.88,-668.32
31-12-2023,131,1036,Sports,19,1396.41,368.25,Store_1036,Pune,South,2796,24-06-2016,26531.79,6996.75,19535.04
02-08-2023,132,1033,Clothing,19,1224.8,578.74,Store_1033,Hyderabad,South,1418,28-08-2022,23271.2,10996.06,12275.14
08-09-2023,133,1026,Clothing,12,325.01,104.43,Store_1026,Kolkata,South,2495,17-07-2016,3900.12,1253.16,2646.96
15-03-2023,134,1048,Furniture,5,1882.1,893.83,Store_1048,Hyderabad,North,4119,17-05-2022,9410.5,4469.15,4941.35
12-11-2023,135,1040,Furniture,5,724.45,705.11,Store_1040,Hyderabad,South,3088,19-09-2019,3622.25,3525.55,96.7
23-09-2023,136,1017,Electronics,14,137.28,1148.25,Store_1017,Pune,East,4884,13-10-2022,1921.92,16075.5,-14153.58
15-10-2023,137,1040,Clothing,17,635.87,333.38,Store_1040,Hyderabad,South,3088,19-09-2019,10809.79,5667.46,5142.33
11-03-2023,138,1007,Groceries,16,704.49,672.11,Store_1007,Bangalore,South,1791,20-04-2019,11271.84,10753.76,518.08
16-05-2023,139,1008,Clothing,4,230.85,295.7,Store_1008,Bangalore,West,4993,18-08-2017,923.4,1182.8,-259.4
13-07-2023,140,1031,Clothing,8,1258.96,932.55,Store_1031,Bangalore,North,1391,07-12-2021,10071.68,7460.4,2611.28
14-02-2023,141,1012,Electronics,3,726.19,1276.6,Store_1012,Bangalore,East,1379,25-10-2017,2178.57,3829.8,-1651.23
05-10-2023,142,1048,Groceries,5,1276.81,1155.2,Store_1048,Hyderabad,North,4119,17-05-2022,6384.05,5776,608.05
18-02-2024,143,1031,Clothing,7,63.14,1417.97,Store_1031,Bangalore,North,1391,07-12-2021,441.98,9925.79,-9483.81
12-05-2023,144,1044,Groceries,18,1964.99,1458.44,Store_1044,Bangalore,West,2863,22-06-2022,35369.82,26251.92,9117.9
04-09-2023,145,1019,Furniture,8,382.51,1164.89,Store_1019,Mumbai,North,4928,26-07-2015,3060.08,9319.12,-6259.04
12-02-2024,146,1010,Furniture,11,1335.7,451.6,Store_1010,Kolkata,East,1763,25-01-2019,14692.7,4967.6,9725.1
23-04-2023,147,1039,Groceries,14,1445.78,352.31,Store_1039,Hyderabad,West,4065,29-03-2018,20240.92,4932.34,15308.58
01-06-2023,148,1012,Clothing,18,384.64,687.9,Store_1012,Bangalore,East,1379,25-10-2017,6923.52,12382.2,-5458.68
03-02-2024,149,1020,Groceries,13,267.84,1491.01,Store_1020,Hyderabad,West,4910,04-11-2017,3481.92,19383.13,-15901.21
16-08-2023,150,1037,Groceries,6,347.53,636.62,Store_1037,Pune,South,4561,25-11-2017,2085.18,3819.72,-1734.54
11-03-2023,151,1048,Furniture,13,531.3,322.63,Store_1048,Hyderabad,North,4119,17-05-2022,6906.9,4194.19,2712.71
10-02-2024,152,1041,Groceries,1,378.05,1418.18,Store_1041,Delhi,East,4099,24-08-2023,378.05,1418.18,-1040.13
22-08-2023,153,1007,Sports,11,1364.3,597.3,Store_1007,Bangalore,South,1791,20-04-2019,15007.3,6570.3,8437
05-11-2023,154,1014,Sports,7,870.62,1045.62,Store_1014,Kolkata,North,4112,15-09-2022,6094.34,7319.34,-1225
24-02-2023,155,1011,Furniture,10,1098.69,1188.58,Store_1011,Hyderabad,West,3235,14-05-2022,10986.9,11885.8,-898.9
10-10-2023,156,1007,Clothing,2,142.31,1269.44,Store_1007,Bangalore,South,1791,20-04-2019,284.62,2538.88,-2254.26
02-09-2023,157,1029,Clothing,16,1729.44,1237.28,Store_1029,Delhi,West,2522,07-04-2020,27671.04,19796.48,7874.56
30-01-2024,158,1010,Furniture,5,382.61,1259.28,Store_1010,Kolkata,East,1763,25-01-2019,1913.05,6296.4,-4383.35
10-11-2023,159,1029,Clothing,16,752.3,1011.45,Store_1029,Delhi,West,2522,07-04-2020,12036.8,16183.2,-4146.4
06-01-2024,160,1009,Electronics,16,190.21,623.63,Store_1009,Bangalore,West,3264,14-04-2022,3043.36,9978.08,-6934.72
21-08-2023,161,1036,Sports,15,316.75,1010.91,Store_1036,Pune,South,2796,24-06-2016,4751.25,15163.65,-10412.4
19-08-2023,162,1048,Electronics,9,1348.31,1260,Store_1048,Hyderabad,North,4119,17-05-2022,12134.79,11340,794.79
03-07-2023,163,1010,Electronics,1,1400.54,545.44,Store_1010,Kolkata,East,1763,25-01-2019,1400.54,545.44,855.1
06-06-2023,164,1019,Electronics,9,1370.08,465.87,Store_1019,Mumbai,North,4928,26-07-2015,12330.72,4192.83,8137.89
28-01-2023,165,1031,Furniture,11,1126.67,535.25,Store_1031,Bangalore,North,1391,07-12-2021,12393.37,5887.75,6505.62
25-03-2023,166,1017,Electronics,5,1907.42,840.39,Store_1017,Pune,East,4884,13-10-2022,9537.1,4201.95,5335.15
30-11-2023,167,1009,Groceries,6,1039,107.09,Store_1009,Bangalore,West,3264,14-04-2022,6234,642.54,5591.46
04-03-2023,168,1045,Clothing,8,926.35,1175.09,Store_1045,Kolkata,South,1779,17-02-2022,7410.8,9400.72,-1989.92
18-05-2023,169,1033,Furniture,15,532.71,234.11,Store_1033,Hyderabad,South,1418,28-08-2022,7990.65,3511.65,4479
06-06-2023,170,1034,Groceries,16,242.76,225.27,Store_1034,Hyderabad,South,3336,06-08-2019,3884.16,3604.32,279.84
07-08-2023,171,1045,Groceries,18,1118.9,320.56,Store_1045,Kolkata,South,1779,17-02-2022,20140.2,5770.08,14370.12
19-03-2023,172,1024,Sports,12,664.04,878.08,Store_1024,Mumbai,South,3027,13-05-2017,7968.48,10536.96,-2568.48
02-10-2023,173,1009,Sports,4,1071.85,449.79,Store_1009,Bangalore,West,3264,14-04-2022,4287.4,1799.16,2488.24
23-02-2023,174,1007,Groceries,16,451.93,571.09,Store_1007,Bangalore,South,1791,20-04-2019,7230.88,9137.44,-1906.56
30-05-2023,175,1016,Sports,11,1684.44,1399.52,Store_1016,Hyderabad,East,3062,20-05-2017,18528.84,15394.72,3134.12
11-11-2023,176,1019,Clothing,7,1999.41,1275.39,Store_1019,Mumbai,North,4928,26-07-2015,13995.87,8927.73,5068.14
31-10-2023,177,1039,Clothing,15,678.69,1282.72,Store_1039,Hyderabad,West,4065,29-03-2018,10180.35,19240.8,-9060.45
10-03-2023,178,1006,Sports,17,1692.54,879.13,Store_1006,Mumbai,North,2076,05-08-2022,28773.18,14945.21,13827.97
04-06-2023,179,1050,Electronics,15,1752.32,1303.71,Store_1050,Hyderabad,West,3454,17-11-2017,26284.8,19555.65,6729.15
30-01-2023,180,1011,Groceries,10,1992.34,1174.49,Store_1011,Hyderabad,West,3235,14-05-2022,19923.4,11744.9,8178.5
17-07-2023,181,1012,Clothing,4,718.3,1431.26,Store_1012,Bangalore,East,1379,25-10-2017,2873.2,5725.04,-2851.84
05-02-2023,182,1042,Sports,17,1524.28,124.62,Store_1042,Bangalore,West,3182,25-12-2019,25912.76,2118.54,23794.22
07-12-2023,183,1013,Sports,4,496.18,72.23,Store_1013,Pune,West,1492,17-05-2016,1984.72,288.92,1695.8
01-09-2023,184,1012,Clothing,11,1268.35,287.29,Store_1012,Bangalore,East,1379,25-10-2017,13951.85,3160.19,10791.66
05-11-2023,185,1021,Clothing,4,1424.44,1395.75,Store_1021,Kolkata,South,3568,25-02-2020,5697.76,5583,114.76
30-09-2023,186,1010,Electronics,12,1495.19,920.18,Store_1010,Kolkata,East,1763,25-01-2019,17942.28,11042.16,6900.12
07-08-2023,187,1020,Sports,10,453.99,656.39,Store_1020,Hyderabad,West,4910,04-11-2017,4539.9,6563.9,-2024
04-08-2023,188,1050,Sports,14,1705.01,783.69,Store_1050,Hyderabad,West,3454,17-11-2017,23870.14,10971.66,12898.48
13-03-2023,189,1036,Furniture,18,870.9,1249.52,Store_1036,Pune,South,2796,24-06-2016,15676.2,22491.36,-6815.16
30-08-2023,190,1028,Electronics,6,471.92,1395.79,Store_1028,Delhi,South,2162,06-04-2015,2831.52,8374.74,-5543.22
18-02-2024,191,1024,Clothing,5,1107.94,1102.66,Store_1024,Mumbai,South,3027,13-05-2017,5539.7,5513.3,26.4
19-08-2023,192,1005,Clothing,2,1733.55,1146.98,Store_1005,Kolkata,South,1878,10-03-2020,3467.1,2293.96,1173.14
25-07-2023,193,1037,Groceries,13,1935.82,500.96,Store_1037,Pune,South,4561,25-11-2017,25165.66,6512.48,18653.18
27-05-2023,194,1012,Clothing,14,1509.01,716.54,Store_1012,Bangalore,East,1379,25-10-2017,21126.14,10031.56,11094.58
09-01-2023,195,1035,Sports,3,60.96,1331.26,Store_1035,Pune,West,1378,17-11-2023,182.88,3993.78,-3810.9
25-06-2023,196,1040,Clothing,11,312.67,1185.32,Store_1040,Hyderabad,South,3088,19-09-2019,3439.37,13038.52,-9599.15
09-01-2024,197,1002,Sports,4,198.73,1035.88,Store_1002,Kolkata,South,3767,15-03-2017,794.92,4143.52,-3348.6
02-07-2023,198,1050,Sports,13,247.37,125.91,Store_1050,Hyderabad,West,3454,17-11-2017,3215.81,1636.83,1578.98
07-04-2023,199,1041,Electronics,8,796.92,88.08,Store_1041,Delhi,East,4099,24-08-2023,6375.36,704.64,5670.72
30-11-2023,200,1045,Clothing,8,710.06,221.7,Store_1045,Kolkata,South,1779,17-02-2022,5680.48,1773.6,3906.88
03-05-2023,201,1039,Electronics,13,271.69,884.64,Store_1039,Hyderabad,West,4065,29-03-2018,3531.97,11500.32,-7968.35
21-11-2023,202,1042,Sports,10,1770.36,818.49,Store_1042,Bangalore,West,3182,25-12-2019,17703.6,8184.9,9518.7
09-01-2023,203,1009,Clothing,13,1250.08,1415.76,Store_1009,Bangalore,West,3264,14-04-2022,16251.04,18404.88,-2153.84
24-10-2023,204,1022,Clothing,13,1603.1,1051.3,Store_1022,Delhi,West,2367,18-01-2023,20840.3,13666.9,7173.4
22-03-2023,205,1047,Electronics,17,774.52,462.14,Store_1047,Mumbai,West,4104,19-05-2023,13166.84,7856.38,5310.46
19-09-2023,206,1005,Electronics,6,849.96,267.4,Store_1005,Kolkata,South,1878,10-03-2020,5099.76,1604.4,3495.36
02-01-2024,207,1012,Sports,2,669.36,1278.81,Store_1012,Bangalore,East,1379,25-10-2017,1338.72,2557.62,-1218.9
25-01-2024,208,1001,Sports,17,904.93,705.65,Store_1001,Hyderabad,South,4796,18-10-2019,15383.81,11996.05,3387.76
28-06-2023,209,1044,Clothing,12,1240.24,990.6,Store_1044,Bangalore,West,2863,22-06-2022,14882.88,11887.2,2995.68
